Id,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,LandArea,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,Price
16779,NA,6,clayton,3168,20141018,WkEnd,SDay,WrkngDy,sold,5,1,4,55,36,52,N,N,N,N,59.5,107.5,NA,NA,2,2,205000,300,2007,2017,8,24.6,0,22.4,1.1,0.6,3.1,0.78,1120000,1510000,917,15.4,NrlyLvl,1355000,1100000,1210000,945000
16780,NA,5,clayton,3168,20140403,WkDay,ThDay,WrkngDy,sold,10,3,2,35,57,64,N,N,N,N,59.5,107.5,725,1950,3,0,620150,NA,2009,NA,15.6,17.7,0.2,24,0.8,0.4,2.2,0.39,1300000,1740000,717,16.8,NrlyLvl,1276667,932000,820000,913000
16781,NA,3,clayton,3168,20140329,WkEnd,SDay,WrkngDy,sold,2,1,2,19,69,66,N,N,N,N,59.5,107.5,NA,NA,3,0,925000,NA,2014,NA,12.3,22.1,0.2,24.5,1.7,1.2,2,1.01,1510000,2010000,842,18.5,NrlyLvl,1463000,1550000,1950000,925000
16789,NA,3,notting hill,3168,20161104,WkDay,FDay,WrkngDy,sold,3,1,1,62,25,47,Y,N,Y,N,71,38,732,1970,4,0,565000,NA,2013,NA,10.2,29.2,0,25.2,1.6,1.8,2,7.37,725000,955000,731,17.9,NrlyLvl,NA,1100000,1080000,918000
16790,NA,1,notting hill,3168,20161008,WkEnd,SDay,WrkngDy,sold,3,2,1,75,26,47,N,N,Y,N,71,38,752,1970,2,1,317200,475,2003,2017,9.7,16.9,0,23.7,1.1,1.1,2.1,7.15,888000,1080000,NA,NA,NA,NA,1100000,1080000,929000
16791,NA,7,notting hill,3168,20160507,WkEnd,SDay,WrkngDy,sold,3,1,0,75,26,47,N,N,Y,N,71,38,725,1960,4,1,326000,230,2005,2005,11.4,25.7,0,25,1.7,1.7,1.8,7.22,925000,1230000,715,17.8,GntlyInclnd,NA,1100000,1080000,905000
16792,NA,3,notting hill,3168,20160226,WkDay,FDay,WrkngDy,sold,7,3,3,75,26,47,Y,N,Y,Y,71,38,727,1970,3,1,780000,525,2013,2014,15.5,23.5,0,23.5,0.9,0.9,2.3,7.1,925000,1230000,729,17.8,GntlyInclnd,NA,1130000,1120000,906000
16793,NA,8,notting hill,3168,20151124,WkDay,TuDay,WrkngDy,sold,4,4,1,62,25,47,Y,N,Y,Y,71,38,723,1965,2,0,242500,NA,1999,NA,13.6,24.5,0,25.5,1.8,1.8,2.2,7.52,975000,1290000,723,23.2,GntlyInclnd,NA,1510000,1140000,920000
16794,NA,0,notting hill,3168,20150509,WkEnd,SDay,WrkngDy,sold,5,2,2,62,25,47,Y,N,Y,Y,71,38,730,2001,4,2,520000,330,2011,2010,12.8,18.7,0,25,1.3,1.5,1.8,7.11,880000,1170000,730,18.3,NrlyLvl,NA,1510000,1210000,910000
16798,NA,7,clayton,3168,20160521,WkEnd,SDay,WrkngDy,sold,3,1,2,55,42,52,N,N,N,N,59.5,107.5,732,1975,1,1,NA,500,NA,2018,8.1,18.5,0,25.1,0.8,0.8,1.9,1.46,925000,1230000,730,16.9,NrlyLvl,1111667,1150000,870000,910000
16799,NA,8,clayton,3168,20150620,WkEnd,SDay,WrkngDy,sold,5,2,2,44,67,61,N,N,N,N,59.5,107.5,NA,NA,0,0,NA,NA,NA,NA,4.1,11.6,0,24.6,1.3,1,1.6,1.17,NA,NA,704,15.4,NrlyLvl,1254629,NA,NA,920000
16800,2,9,clayton,3168,20171021,WkEnd,SDay,WrkngDy,sold,4,3,2,59,38,58,N,N,Y,Y,59.5,107.5,738,1965,1,0,NA,NA,NA,NA,11,15.4,0,23.1,0.8,0.8,1,1.14,NA,NA,724,15.4,NrlyLvl,829300,1100000,1220000,990000
16801,NA,8,clayton,3168,20170325,WkEnd,SDay,WrkngDy,sold,2,1,1,55,36,52,N,N,N,N,59.5,107.5,709,1950,1,0,NA,NA,NA,NA,15.3,29.7,0,22.5,1.5,0.7,2,0.67,925000,1230000,708,17.6,NrlyLvl,1015167,890000,1010000,955000
16802,NA,9,clayton,3168,20161215,WkDay,ThDay,WrkngDy,sold,3,1,1,41,49,61,N,N,N,N,59.5,107.5,728,1978,2,0,146500,NA,1999,NA,11.7,18.6,0,25.4,0.3,0.3,1.5,1.82,925000,1230000,739,NA,NrlyLvl,1111667,1240000,1120000,990000
16803,NA,0,clayton,3168,20151017,WkEnd,SDay,WrkngDy,sold,4,2,2,34,66,73,Y,N,Y,Y,59.5,107.5,NA,NA,1,0,NA,NA,NA,NA,11.5,20.5,0,25.1,3,0.8,1.8,1.93,925000,1230000,721,16.8,NrlyLvl,1110000,1100000,1140000,991345
16804,NA,1,clayton,3168,20141122,WkEnd,SDay,WrkngDy,sold,4,2,2,38,63,54,Y,N,N,N,59.5,107.5,NA,NA,1,0,NA,NA,NA,NA,12.9,31,0,22.6,0.7,0.8,1.5,0.3,1120000,1510000,874,NA,NrlyLvl,1355000,828000,820000,950000
16805,NA,1,clayton,3168,20170401,WkEnd,SDay,WrkngDy,sold,4,2,2,60,31,47,N,N,Y,N,59.5,107.5,NA,NA,1,0,NA,NA,NA,NA,10,19,0,22.8,1.6,0.2,1.6,1.04,880000,1170000,429,NA,NrlyLvl,NA,950000,1400000,980000
16806,NA,5,clayton,3168,20160704,WkDay,MDay,WrkngDy,sold,5,2,6,52,45,51,N,Y,N,N,59.5,107.5,NA,NA,3,2,500000,560,2007,2011,10.4,12.7,0,23.6,0.9,0.5,0.8,0.86,1080000,1430000,691,17.1,NrlyLvl,1248333,1100000,1030000,1000000
